,0.06,0.12,0.18
5,0.375,0.5,0.75
10,0.25,0.25,0.75
25,0.25,0.625,0.5
50,0.25,0.375,0.5
75,0.25,0.375,0.5
100,0.25,0.25,0.375
200,0.25,0.375,0.375
