,0.06,0.12,0.18
5,93.5,97.875,99.125
10,97.625,99.375,99.5
25,99.25,99.75,99.875
50,99.75,100.0,100.0
75,99.75,99.875,99.875
100,99.875,99.875,99.875
150,99.875,99.5,99.875
200,100.0,100.0,100.0
250,99.625,99.875,99.875
300,99.875,99.75,100.0
350,100.0,100.0,99.875
400,100.0,100.0,99.875
