,0.06,0.12,0.18
5,51.87500000000001,67.0,79.875
10,49.0,59.0,70.125
25,48.5,54.75,59.62499999999999
50,50.125,54.625,56.875
75,49.75,54.125,56.125
100,50.5,54.87499999999999,57.125
200,50.875,55.125,56.125
