,0.06,0.12,0.18
5,77.625,89.875,95.0
10,76.625,90.625,95.5
25,74.125,88.625,94.75
50,70.0,86.125,92.125
75,67.5,82.5,89.625
100,64.625,81.375,88.75
150,61.625,75.125,86.75
200,58.75,73.875,83.125
250,55.75,72.0,81.875
