,0.06,0.12,0.18
5,0.375,2.0,1.5
10,0.75,1.625,1.5
25,1.375,3.5000000000000004,3.75
50,1.25,3.75,6.125
75,0.8750000000000001,4.25,6.375
100,0.75,3.5000000000000004,5.625
150,0.625,2.625,5.625
200,0.375,2.5,4.75
250,0.25,1.875,4.875
