,0.06,0.12,0.18
5,78.875,90.5,95.0
10,76.25,89.75,95.375
25,74.125,89.125,93.875
50,69.5,85.375,91.375
75,65.75,83.125,90.375
100,65.375,80.875,89.375
150,59.875,77.375,86.5
200,58.12500000000001,73.625,82.75
250,56.49999999999999,69.75,81.125
