,0.06,0.12,0.18
5,0.25,1.625,1.5
10,0.5,1.7500000000000002,1.625
25,1.625,3.0,3.875
50,1.625,4.25,4.875
75,1.0,4.0,5.625
100,0.625,3.75,6.25
150,0.625,2.75,5.125
200,0.25,1.7500000000000002,5.5
250,0.25,2.125,4.25
